Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (Composting),2.45,log L/kg OC,3,2.45,0.21,,1.43,3.49,,
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc (Composting),3.2,log L/kg OC,3,3.2,0.19,,2.13,3.91,,
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc (Composting),1.85,log L/kg OC,3,1.85,0.11,,0.96,2.81,,
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (Composting),1.78,log L/kg OC,3,1.78,0.08,,0.95,2.69,,
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (Composting),1.83,log L/kg OC,3,1.83,0.13,,1.02,2.76,,
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (Composting),2.23,log L/kg OC,3,2.23,0.16,,1.12,3.17,,
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (Composting),2.85,log L/kg OC,3,2.85,0.23,,1.54,3.75,,
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (Composting),3.43,log L/kg OC,3,3.43,0.19,,2.01,4.39,,
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (Composting),1.8,log L/kg OC,3,1.8,0.12,,1.01,2.65,,
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (Composting),2.28,log L/kg OC,3,2.28,0.2,,1.3,3.15,,
Log partition coefficient,LogPartCoef,5:3FTCA,5:3FTCA Log Koc (Composting),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,6:2FTCA,6:2FTCA Log Koc (Composting),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,7:3FTCA,7:3FTCA Log Koc (Composting),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,6:2FTS,6:2FTS Log Koc (Composting),2.26,log L/kg OC,3,2.26,0.18,,1.02,4.25,,
Log partition coefficient,LogPartCoef,MeFBSAA,MeFBSAA Log Koc (Composting),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,nMeFOSAA,nMeFOSAA Log Koc (Composting),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,PFBSA,PFBSA Log Koc (Composting),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,PFPeS,PFPeS Log Koc (Composting),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Amendment Material Properties,AmndProp,mass_ratio,Mass of amendment to mass of feedstock,0.7,kg TS/kg TS,4,,,,0.25,1.1,[62],
Amendment Material Properties,AmndProp,ts_cont,TS content of amendmente _wet,0.55,fraction wet weight,5,0.55,,,0.5,0.6,[63],
Amendment Material Properties,AmndProp,C_cont,Organic C content - dry,0.58,fraction TS,4,,,,0.5,0.6,[48],
Amendment PFAS Concentration,AmndPFAS,PFOA,PFOA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFOS,PFOS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFBA,PFBA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFPeA,PFPeA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFHxA,PFHxA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFHpA,PFHpA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFNA,PFNA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFDA,PFDA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFBS,PFBS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFHxS,PFHxS concentration - dry mass,0,10e-6g/kg,,,,,,,,
